Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0109878002350335,-0.000467352545920593,0.0159581444820132,0,0,0,0.154434473579629,3.43058191646254E-05,2.21370757914087E-06,-1.33269609834339E-08,4.08483596238249E-05,-1.97753608771289E-08,4.86767167868751E-05,0,0,0,0,0,0,package://hand_v3_model/meshes/base_link.3dxml,0,0,0,1,0,0,0,0,0,0,package://hand_v3_model/meshes/base_link.3dxml,,KRS6100_scale-1,arm_link0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm_link1,-0.00316960988198456,-0.000189219150271503,0.0177246887158583,0,0,0,0.056842607909979,5.82383938758488E-06,-3.25545745711165E-09,-4.53046833466998E-08,7.42855462055827E-06,-1.14764880883881E-08,5.89719507542553E-06,-4.57197212379339E-15,0,-0.016,0,0,0,package://hand_v3_model/meshes/arm_link1.3dxml,0.752941176470588,0.752941176470588,0.752941176470588,1,-4.57197212379339E-15,0,-0.016,0,0,0,package://hand_v3_model/meshes/arm_link1.3dxml,,arm_link1^arm_urdf-1,arm_link1,arm_joint1,arm_joint1,revolute,0,0,0.016,0,0,0,base_link,0,1,0,0,4.553,-0.5236,1.5708,,,,,,,,
arm_link2,-0.0133833733173375,6.72883877540537E-05,-0.0567097979838634,0,0,0,0.0703791991686179,8.94656964377469E-06,-4.11425031885578E-10,-9.07199817211459E-09,7.37037278675224E-06,-6.45988319886012E-09,5.43553211836563E-06,-2.75991859338823E-15,2.44505428156816E-15,-0.0899999999999994,0,0,0,package://hand_v3_model/meshes/arm_link2.3dxml,0.752941176470588,0.752941176470588,0.752941176470588,1,-2.75991859338823E-15,2.44505428156816E-15,-0.0899999999999994,0,0,0,package://hand_v3_model/meshes/arm_link2.3dxml,,arm_link2^arm_urdf-1,arm_link2,arm_joint2,arm_joint2,revolute,0,0,0.074,0,0,0,arm_link1,0,0,1,0,6.545,-2.3562,2.3562,,,,,,,,
hand_link,0.00242336896444873,-0.000435009434759933,-0.0994024105782972,0,0,0,0.0863017748377602,1.21884417232236E-05,-6.20382063994788E-08,-4.2836529888476E-08,5.78589456737548E-06,3.45943329730611E-07,1.15389270657223E-05,-2.2275862347845E-15,0,-0.158999999999999,0,0,0,package://hand_v3_model/meshes/hand_link.3dxml,0.752941176470588,0.752941176470588,0.752941176470588,1,-2.2275862347845E-15,0,-0.158999999999999,0,0,0,package://hand_v3_model/meshes/hand_link.3dxml,,hand_base_link^arm_urdf-1,hand_base_link,hand_base_joint,hand_joint,revolute,0,0,0.069,0,0,0,arm_link2,0,-1,0,0,6.545,-1.5708,1.7453,,,,,,,,
thumb_pulley_link,0.00510781773182535,-0.0292761330633162,0.201840813118144,0,0,0,0.000573068394145991,1.00267310356119E-08,6.74352672289079E-12,-1.70215308289679E-13,1.05505867223988E-08,1.32278768111146E-11,1.953683566512E-08,0.00510473038957319,-0.0290362596907795,0.200500005856289,3.14159265358979,0,3.14159265358979,package://hand_v3_model/meshes/thumb_pulley_link.3dxml,0,0,0,1,0.00510473038957319,-0.0290362596907795,0.200500005856289,3.14159265358979,0,3.14159265358979,package://hand_v3_model/meshes/thumb_pulley_link.3dxml,,pulley_ver2_small-1,thumb_pulley_link,thumb_pulley_joint,thumb_pulley_joint,continuous,0.0051047,0.029036,0.0415,3.1416,0,3.1416,hand_link,0,0,-1,0,10,,,,,,,,,,
index_pulley_link,0.0104400800960247,0.0261196456825002,0.23919490665274,0,0,0,0.00101512886583036,5.80350843229944E-08,8.51920492995173E-12,1.51610468430295E-11,2.96344798454047E-08,-4.55614663040133E-10,3.0189289854793E-08,0.00909526961042528,0.0262348940717162,0.239400006335382,3.14159265358979,-6.29357130235854E-15,0,package://hand_v3_model/meshes/index_pulley_link.3dxml,0,0,0,1,0.00909526961042528,0.0262348940717162,0.239400006335382,3.14159265358979,-6.29357130235854E-15,0,package://hand_v3_model/meshes/index_pulley_link.3dxml,,pulley_ver2-1,index_pulley_link,index_pulley_joint,index_pulley_joint,continuous,-0.0090953,0.026235,0.0804,3.1416,0,0,hand_link,1,0,0,0,10,,,,,,,,,,
middle_pulley_link,-0.0106851741089206,0.0105779808218025,-0.247564657658571,0,0,0,0.00126450613447782,6.153212699496E-08,8.63522073123539E-11,1.53675122365542E-10,3.38642320708007E-08,-4.50882529920666E-10,3.4413279678244E-08,-0.0090952696104251,0.0106705007103529,-0.247400006335382,0,6.10622663543836E-15,3.14159265358979,package://hand_v3_model/meshes/middle_pulley_link.3dxml,0,0,0,1,-0.0090952696104251,0.0106705007103529,-0.247400006335382,0,6.10622663543836E-15,3.14159265358979,package://hand_v3_model/meshes/middle_pulley_link.3dxml,,pulley_ver2_tall-1,middle_pulley_link,middle_pulley_joint,middle_pulley_joint,continuous,-0.0090953,0.010671,0.0884,0,0,3.1416,hand_link,-1,0,0,0,10,,,,,,,,,,
ring_pulley_link,-0.00775045912482592,-0.00621524656502203,-0.242605099682641,0,0,0,0.00101512886583036,5.80350843229944E-08,8.51920493000025E-12,1.51610468430321E-11,2.96344798454047E-08,-4.55614663040125E-10,3.01892898547929E-08,-0.00909526961042529,-0.00609999817580607,-0.242399999999999,0,6.1914943152288E-15,3.14159265358979,package://hand_v3_model/meshes/ring_pulley_link.3dxml,0,0,0,1,-0.00909526961042529,-0.00609999817580607,-0.242399999999999,0,6.1914943152288E-15,3.14159265358979,package://hand_v3_model/meshes/ring_pulley_link.3dxml,,pulley_ver2-2,ring_pulley_link,ring_pulley_joint,ring_pulley_joint,continuous,-0.0090953,-0.0061,0.0834,0,0,3.1416,hand_link,1,0,0,0,10,,,,,,,,,,
little_pulley_link,-0.0106851741089209,-0.0217569004806293,-0.234564651323188,0,0,0,0.00126450613447782,6.153212699496E-08,8.63522073123654E-11,1.53675122365515E-10,3.38642320708007E-08,-4.50882529920699E-10,3.4413279678244E-08,-0.00909526961042538,-0.0216643805920785,-0.234399999999999,0,6.79941902283724E-15,3.14159265358979,package://hand_v3_model/meshes/little_pulley_link.3dxml,0,0,0,1,-0.00909526961042538,-0.0216643805920785,-0.234399999999999,0,6.79941902283724E-15,3.14159265358979,package://hand_v3_model/meshes/little_pulley_link.3dxml,,pulley_ver2_tall-2,little_pulley_link,little_pulley_joint,little_pulley_joint,continuous,-0.0090953,-0.021664,0.0754,0,0,3.1416,hand_link,-1,0,0,0,10,,,,,,,,,,
adduction_pulley_link,0.000198118046709829,-0.00427523428696472,-0.198703188441648,0,0,0,0.001757686295804,3.86361592032778E-08,-1.22785333194018E-11,-4.8784810322831E-10,7.13845589903268E-08,-3.92507882041781E-12,3.72660104742244E-08,-0.00010473038957307,-0.0032852567398191,-0.1988,0,0,0,package://hand_v3_model/meshes/adduction_pulley_link.3dxml,0.298039215686275,0.298039215686275,0.298039215686275,1,-0.00010473038957307,-0.0032852567398191,-0.1988,0,0,0,package://hand_v3_model/meshes/adduction_pulley_link.3dxml,,pulley_kxr-1,adduction_pulley_link,adduction_pulley_joint,adduction_pulley_joint,continuous,0.00010473,0.0032853,0.0398,0,0,0,hand_link,0,-1,0,0,6.545,,,,,,,,,,
